Lbm	hDRo	69	7	77	19	84	-3	90	78	47	61	97	96	16	68	84	43	71	31	70	82	78	25
BdesRBNCyGx	LRLnPPFKokCQnNU	35	85	32	35	87	41	45	12	12	17	61	63	52	92	6	7	44	21	31	1	28	33
bimtrlpn	fZFmFDrSFBNV	23	62	40	24	42	45	1	75	42	45	28	95	-5	57	59	35	16	61	76	14	66	94
MnZkq	rxIzXChkCCE	34	12	82	97	3	60	83	62	83	98	93	50	45	99	22	42	65	95	40	93	51	3
lGeHaIH	dqVCGP	3	33	57	77	39	36	81	65	11	93	43	78	38	71	53	12	2	18	42	31	40	27
brBnAeGUOCrB	oY	30	32	67	97	37	28	3	58	78	-5	14	60	48	52	86	37	70	76	73	6	40	13
KAM	JUWIxBMNE	17	41	76	94	60	99	75	2	45	61	72	26	100	29	9	28	89	95	-2	3	10	32
ijUsY	PYLE	25	49	7	39	82	27	66	86	36	7	49	41	0	97	3	68	75	43	71	18	0	47
zzCaLDyGuWgOOpl	LPajaqdNwtjmPp	54	27	77	90	68	69	-4	-3	55	5	36	24	65	91	94	53	57	8	16	38	32	84
ujUIyBWIYYYyZV	zjGBOFFsdX	56	29	27	79	17	21	89	92	69	69	56	100	60	82	28	71	62	20	36	41	56	14
tRVskHEbpQpduTb	WVfjJdngIV	44	37	21	-1	6	62	-5	21	15	43	81	44	91	45	33	42	48	88	33	79	-1	54
xPp	UZzBuzasqqUiwV	83	52	96	79	93	18	-4	32	25	12	3	16	49	55	93	60	97	72	4	6	-2	42
NeL	lUUflbNkPalcij	55	80	-4	75	15	42	47	67	6	11	47	39	68	44	81	9	21	2	79	63	58	47
RoRHLOmAkCNE	seMPhruydrb	35	49	-2	13	51	89	3	99	100	1	51	74	93	56	20	-2	83	5	59	45	-4	48
JvQoxvwTseGb	XpDRfRQFg	59	32	79	66	98	1	24	62	21	74	84	45	75	10	90	52	75	83	62	29	24	67
nPCgUU	BmI	81	18	2	71	1	8	53	100	43	8	66	59	28	34	29	79	8	87	28	2	-2	47
